attempt,candidate_id,reason
7,cand_1c6129119ad9,tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_CA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_CLK;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_DATA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_GROUND;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_POWER;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_SPARE;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_CA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_CLK;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_DATA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_GROUND;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_POWER;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_SPARE
8,cand_a61549c4ac22,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_SPARE;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH0_CA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH0_CLK;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH0_DATA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH0_GROUND;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH0_POWER;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH0_SPARE;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_CA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_CLK;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_DATA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_GROUND;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_POWER;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_SPARE;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH4_CA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH4_CLK;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH4_DATA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH4_GROUND;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH4_POWER;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH4_SPARE
9,cand_5e43829b9482,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH2_SPARE;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_CA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_CLK;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_DATA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_GROUND;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_POWER;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_SPARE;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_CA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_CLK;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_DATA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_GROUND;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_POWER;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_SPARE
17,cand_6a8b72cd0a52,tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_CA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_CLK;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_DATA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_GROUND;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_POWER;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_SPARE;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH3_CA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH3_CLK;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH3_DATA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH3_GROUND;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH3_POWER;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH3_SPARE
18,cand_7b486c3e79cb,tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_CA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_CLK;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_DATA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_GROUND;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_POWER;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_SPARE;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_CA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_CLK;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_DATA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_GROUND;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_POWER;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_SPARE;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_CA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_CLK;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_DATA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_GROUND;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_POWER;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_SPARE
19,cand_476f1a133595,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_SPARE;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_CA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_CLK;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_DATA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_GROUND;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_POWER;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_SPARE;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_CA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_CLK;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_DATA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_GROUND;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_POWER;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_SPARE;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_CA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_CLK;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_DATA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_GROUND;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_POWER;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_SPARE
27,cand_626027d9fe6b,tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_CA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_CLK;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_DATA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_GROUND;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_POWER;tsv_keepout:top.logic_die_link_arbiter:TSV_CH0_SPARE;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH3_CA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH3_CLK;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH3_DATA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH3_GROUND;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH3_POWER;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH3_SPARE
28,cand_2ef319605161,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_SPARE;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_CA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_CLK;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_DATA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_GROUND;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_POWER;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_SPARE
29,cand_a0825b12bdd0,tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_CA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_CLK;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_DATA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_GROUND;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_POWER;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_SPARE;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_CA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_CLK;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_DATA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_GROUND;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_POWER;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_SPARE;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_CA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_CLK;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_DATA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_GROUND;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_POWER;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_SPARE
37,cand_ac2d30b84672,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_SPARE;tsv_keepout:top.hierarchical_reduction_path:TSV_CH4_CA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH4_CLK;tsv_keepout:top.hierarchical_reduction_path:TSV_CH4_DATA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH4_GROUND;tsv_keepout:top.hierarchical_reduction_path:TSV_CH4_POWER;tsv_keepout:top.hierarchical_reduction_path:TSV_CH4_SPARE;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_CA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_CLK;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_DATA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_GROUND;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_POWER;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_SPARE
