group,parameter,minimum,base,maximum,unit,distribution_or_sweep,status,source_ids
workload,normalization_invocations,333,333,333,calls,fixed_local_profile,local_experiment,L1
workload,normalization_cycles,2040382,2040382,2040382,cycles,fixed_local_profile,local_experiment,L1
workload,bytes_per_element,2,2,2,bytes,fixed,FP16_local_experiment,L1
workload,aggregate_read_write_bytes,186351616,232939520,279527424,bytes,triangular_low_base_high,minimum_input_plus_output_traffic_estimate_excluding_parameters_and_intermediates,L1;A4
workload,channel_request_rate_mreq_per_s,0.0005,0.0025,0.01,million_tensor_calls_per_second_per_channel,loguniform_low_high,scheduler_trace_sweep_assumption,A4
workload,channel_bandwidth_gbps,32.0,128.0,256.0,GB_per_second_per_channel,triangular_low_base_high,exploration_assumption_not_HBM_rating,A4
workload,pcu_utilization,0.2,0.6,0.95,fraction,triangular_low_base_high,measurement_required,A4
workload,scheduler_pcu_count,8,16,32,PCU_lanes,discrete_sweep,simulator_design_point,A4
workload,scheduler_blocks_per_request,8,8,8,blocks,fixed,trace_mapping_assumption,A4
workload,scheduler_transfer_bytes_per_cycle,32,64,128,bytes_per_cycle,discrete_sweep,simulator_design_point,A4
package_geometry,base_die_width_mm,7.2,8.0,8.8,mm,triangular_low_base_high,design_assumption,A1
package_geometry,base_die_height_mm,10.8,12.0,13.2,mm,triangular_low_base_high,design_assumption,A1
package_geometry,dram_die_width_mm,7.0,7.8,8.6,mm,triangular_low_base_high,design_assumption,A1
package_geometry,dram_die_height_mm,10.6,11.8,13.0,mm,triangular_low_base_high,design_assumption,A1
package_geometry,dram_die_count,4,8,8,dies,triangular_low_base_high,design_assumption,A1;S4
package_geometry,hbm_channel_count,8,8,8,channels,fixed,datasheet,S4
package_geometry,channel_data_width_bits,128,128,128,bits_per_channel,fixed,datasheet,S4
package_geometry,tsv_x_offset_mm,2.8,3.12,3.4,mm,triangular_low_base_high,visual_model_assumption,A1
package_geometry,tsv_keepout_radius_mm,0.05,0.08,0.12,mm,triangular_low_base_high,design_assumption,A1
package_geometry,tsv_diameter_um,10.0,28.0,40.0,um,triangular_low_base_high,representative_visual_model_assumption,A1
package_geometry,tsv_pitch_um,40.0,80.0,120.0,um,triangular_low_base_high,design_assumption,A1
package_geometry,tsv_rows_per_column,8,16,32,rows,triangular_low_base_high,representative_visual_model_assumption,A1
package_geometry,tsv_columns_per_side,2,4,8,columns,triangular_low_base_high,representative_visual_model_assumption,A1
package_geometry,microbump_diameter_um,10.0,22.0,35.0,um,triangular_low_base_high,representative_visual_model_assumption,A1
package_geometry,microbump_pitch_um,30.0,50.0,100.0,um,triangular_low_base_high,design_assumption,A1
package_geometry,phy_reserved_band_halfwidth_mm,0.2,0.3,0.45,mm,triangular_low_base_high,design_assumption,A1
package_geometry,placement_margin_mm,0.1,0.2,0.4,mm,triangular_low_base_high,design_assumption,A1
electrical,frequency_mhz,80.0,100.0,120.0,MHz,triangular_low_base_high,constraint_derived,L3
electrical,switching_activity,0.05,0.1,0.2,fraction,triangular_low_base_high,design_assumption,A2
electrical,logic_active_power_w,0.05,0.1,0.2,W,triangular_low_base_high,unvalidated_design_assumption,A2
electrical,logic_leakage_power_w,0.003,0.01,0.03,W,triangular_low_base_high,measurement_required,A2
electrical,dram_stack_power_w,4.0,8.0,12.0,W,triangular_low_base_high,scenario_assumption,A2
electrical,dram_heat_coupling_to_base,0.2,0.35,0.55,fraction,triangular_low_base_high,compact_model_assumption,A2;S5;S6
electrical,signal_resistance_kohm_per_um,0.00096452,0.00120565,0.00144678,kohm_per_um,triangular_low_base_high,local_platform_met1_signal_model,L5
electrical,signal_capacitance_pf_per_um,0.0001379,0.000172375,0.00020685,pF_per_um,triangular_low_base_high,local_platform_met1_signal_model,L5
electrical,routing_corridor_pitch_um,1.0,2.0,4.0,um,triangular_low_base_high,design_assumption,A2
thermal,ambient_c,20.0,25.0,45.0,degC,triangular_low_base_high,scenario_assumption,A3
thermal,silicon_conductivity_w_per_mk,100.0,130.0,150.0,W_per_mK,triangular_low_base_high,rounded_material_assumption,A3
thermal,logic_silicon_thickness_mm,0.05,0.1,0.15,mm,triangular_low_base_high,design_assumption,A3
thermal,tim_conductivity_w_per_mk,1.0,4.0,8.0,W_per_mK,triangular_low_base_high,material_selection_assumption,A5
thermal,tim_thickness_mm,0.02,0.05,0.1,mm,triangular_low_base_high,package_assumption,A5
